country,corruption_perceptions_index,press_freedom_index,trust_in_news_media_index,trust_in_government_index,region
Afghanistan,19,2,40.57221497072622,69.32180632,Asia
Albania,36,3,33.32500705,54.74560610218313,Europe
Algeria,36,2,31.51662286504288,68.97456215757938,Africa
Argentina,42,3,39,31,South America
Australia,77,4,44,42,Oceania
Austria,76,4,39,51.49484344410449,Europe
Azerbaijan,30,1,40.55554049839819,80.20298357056997,Asia
Belarus,47,2,32.87842290418469,70.97132952827346,Europe
Belgium,76,5,49,49.78423041601606,Europe
Bolivia,31,2,38.19583905,61.80749181556473,South America
Bosnia and Herzegovina,35,3,31.51983558099107,62.39147032,Europe
Brazil,38,3,48,28,South America
Bulgaria,44,2,40,52.35606600616529,Europe
Burkina Faso,40,4,44.72942970384643,77.48906804,Africa
Burundi,19,1,39.38532314747121,60.34613824107987,Africa
Cameroon,25,2,43.82290693919514,59.68780078897845,Africa
Canada,77,4,52,53,North America
Chile,67,3,45,45.41164412,South America
China,42,1,42.63479392300214,86,Asia
Colombia,39,2,37.34025930985603,37,South America
Congo,19,2,41.46407392005521,53.40270620798724,Africa
Costa Rica,57,5,44.08147615250166,29.30322617112336,North America
Croatia,47,3,40,52.62034599113628,Europe
Cuba,47,1,39.70530684796644,52.60721626,North America
Czech Republic,54,4,33,50.05865232497246,Europe
Denmark,88,5,57,59.95302766547807,Europe
Dominican Republic,28,3,40.55519751876609,55.06671096051753,North America
DR Congo,18,2,40.22654153170397,60.28734819557235,Africa
Ecuador,39,3,37.78283659718409,45.21243604553453,South America
Egypt,33,1,42.79514525460459,67.20450796276421,Africa
El Salvador,36,3,37.06017274434343,55.53725997599355,North America
Estonia,75,5,42.38347152507794,56.70072497347576,Europe
Ethiopia,38,3,43.56657939710263,73.45014702470307,Africa
Fiji,35.90887417017942,3,44.48560022202755,70.79148916031727,Oceania
Finland,85,5,59,53.11305117834424,Europe
France,69,4,24,32,Europe
Gabon,30,2,37.88681460642231,63.57892381636691,Africa
Gambia,37,3,51.15366350489779,64.58494473598985,Africa
Georgia,56,3,40.91857697470522,72.50167726805607,Europe
Germany,80,5,47,40,Europe
Ghana,43,4,48.47824576856986,58.55055510399373,Africa
Greece,50,3,27,49.21078340850266,Europe
Guatemala,25,2,38.53873054487907,48.20901319,North America
Guinea,28,3,50.86704976198294,80.54834278316767,Africa
Honduras,24,2,39.88638364565097,46.07816545409501,North America
Hungary,44,3,28,58.11898999878838,Europe
Iceland,75,4,42.46734375665622,46.99664697461026,Europe
India,40,2,47.18189344231369,75,Asia
Indonesia,37,2,40.78783332540416,74,Asia
Iran,25,1,36.63328903288889,39.03664440596489,Asia
Iraq,21,1,36.47142028709057,64.32967494333657,Asia
Ireland,72,5,48,38,Europe
Israel,60,3,43.69389197215052,40.69873396209839,Asia
Italy,53,4,40,43,Europe
Ivory Coast,36,3,37.28209619961764,57.87531211823347,Africa
Japan,74,3,39,39,Asia
Jordan,49,2,39.16940899407356,58.71494274737681,Asia
Kazakhstan,38,2,39.29906304673143,71.00454997067062,Asia
Kenya,31,3,39.49135617695232,59.68710535405077,Africa
Kosovo,36,3,35.64674864,69.58618406504625,Europe
Kuwait,42,3,35.60425776,41.55497258057378,Asia
Kyrgyzstan,31,3,37.04946214624148,72.80514995970424,Asia
Latvia,57,4,37.34822696573488,57.97519686392909,Europe
Lebanon,25,3,33.00656520173432,45.11866972653918,Asia
Libya,17,1,35.55654601037573,43.74624371,Africa
Lithuania,60,4,42.49431598387692,56.61952917907367,Europe
Madagascar,25,3,42.21476510566413,66.09641269,Africa
Malawi,30,3,44.03807299181555,47.40386009832443,Africa
Malaysia,51,3,31,60,Asia
Mali,30,3,45.10555793,76.57398505877623,Africa
Mexico,31,2,50,34,North America
Moldova,34,3,31.43738809395631,72.10381643117114,Europe
Mongolia,35,3,40.09243655986491,73.45413621075971,Asia
Montenegro,45,3,34.96835188459703,56.86702404049686,Europe
Morocco,40,2,41.21745874942712,58.71327895593215,Africa
Myanmar,28,2,45.99233526830935,71.54982363,Asia
Nepal,33,2,41.34071058331855,74.26815998,Asia
Netherlands,82,5,53,54,Europe
New Zealand,88,5,50.14813179884066,57.05884983139617,Oceania
Nigeria,25,2,44.87389485665446,75.25476254372343,Africa
North Korea,18,1,36.87913763663713,56.88052881329497,Asia
North Macedonia,35,3,33.70174510469553,64.16221752761597,Europe
Oman,54,2,42.34220846040682,57.49502414976504,Asia
Pakistan,31,2,41.76958839,83.20788113461805,Asia
Papua-New-Guinea,27,4,44.30737797793121,67.35796873260261,Oceania
Paraguay,28,3,35.41203820479124,42.00216849276782,South America
Peru,38,3,31.28760383934804,39.69821000789383,South America
Philippines,34,2,48.85235053611773,49.62045402796738,Asia
Poland,56,3,48,61.81127843281638,Europe
Portugal,61,5,58,43.28824168,Europe
Qatar,63,2,42.42576356128082,53.57876514653768,Asia
Romania,44,3,35,49.15377779,Europe
Russia,30,2,33.98096498315211,34,Asia
Rwanda,54,2,48.74164732713076,56.31622466035657,Africa
Saudi Arabia,53,1,46.92655061749187,62.57554500837648,Asia
Senegal,45,4,43.81119390371665,66.49464205066315,Africa
Serbia,38,3,36.18090379971869,57.63531703734918,Europe
Singapore,85,1,42,67,Asia
Slovakia,49,4,33,57.65824023,Europe
South Africa,44,4,49,21,Africa
South Korea,61,4,22,48,Asia
South Sudan,12,2,39.36879063,58.75428547270212,Africa
Spain,62,4,43,26,Europe
Sri Lanka,38,2,37.74935446021959,50.79073260991203,Asia
Sudan,16,1,36.39382638353374,63.45067532040727,Africa
Sweden,85,5,39,50.06772400954034,Europe
Switzerland,85,5,46,48.39827599327769,Europe
Syria,14,1,33.97805757318302,53.60226557326826,Asia
Taiwan,65,4,28,58.94601256404684,Asia
Tajikistan,25,1,51.23168631070749,61.98751869788774,Asia
Tanzania,38,2,49.09248527012487,54.45215205,Africa
Thailand,36,2,32.76452336983022,51.77765533359693,Asia
Timor,40,3,44.41644781373982,79.99160923494681,Asia
Tunisia,44,3,37.81444545669963,57.72236702,Africa
Turkey,40,2,46,52,Asia
Tuvalu,34.23073713083008,3.342438813174266,45.81751286162184,71.08340380703305,Oceania
Uganda,27,2,42.18760498080126,53.65690306534208,Africa
Ukraine,33,3,35.04467317010565,73.55309154843198,Europe
United Arab Emirates,71,2,49.57698089558256,82,Asia
UK,77,4,40,42,Europe
United States,67,4,32,40,North America
Uruguay,71,4,47.52885933416654,54.94476165280699,South America
Uzbekistan,26,2,58.57665689849663,61.63108653441415,Asia
Vanuatu,43,3.602275126856969,50.39800010219345,80.60910716,Oceania
Venezuela,15,2,37.40708972011966,41.08555225673693,South America
Vietnam,36,1,34.56736303752542,64.58377415741353,Asia
Yemen,15,1,39.12267787082907,61.55925778534515,Asia
Zimbabwe,24,2,41.18540393772271,43.65525182,Africa
